run	range	var_eps	gamma	n1	cv1	gamma1	var1	n2	cv2	gamma2	var2	fitting2	range2	cv2a	n3	cv3	gamma3	var3	fitting3	range3	cv3a
1	2000	2000	0	310	0.0186	0	0	52	0.0363	0.073161707965909	0.00133815887812224	0.922156589016503	1143.26885358497	0.0145	111	0.0338	0.0000509125918745302	0.00000000064802300284562	0.961187816335825	1428.93446788222	0.0185
2	2000	2000	0.05	305	0.0214	0.0273746920465114	0.000187343441160334	50	0.041	0.0696962892831542	0.00121439318496028	0.914421831423135	663.63726644634	0.0153	123	0.0346	0.198717598406875	0.00987217097914897	0.940507525406648	1199.00906906219	0.0213
3	2000	2000	0.1	352	0.0219	0.100071368648707	0.00250356970580633	52	0.0393	0.0956457768961944	0.00228702865951915	0.911176556667038	620.593498558043	0.0147	142	0.0354	0.338725197198228	0.0286836898042447	0.904301976329163	1274.47415514379	0.0217
4	2000	2000	0.15	424	0.0211	0.196139895264132	0.00961771462855612	59	0.0411	0.152247976973541	0.00579486162313394	0.904001960903525	633.896386423923	0.0141	168	0.0361	0.451498826303035	0.0509627975382546	0.846502804717198	1662.76167345487	0.0216
5	2000	2000	0.2	507	0.0407	0.315457140093685	0.0248783018090217	73	0.0409	0.178762483961915	0.00798900641805848	0.89223701375638	631.06290131209	0.0141	216	0.0364	0.606004377491719	0.0918103263847814	0.759166172130893	1579.5158592825	0.0223
6	2000	2000	0.25	654	0.0424	0.439791862641738	0.0483542206114723	100	0.0393	0.238558341749727	0.0142275206045949	0.872301827342315	584.128875793321	0.0132	294	0.0376	0.710039969727096	0.126039189652514	0.643658392552105	1603.71057377	0.0232
7	2000	2000	0.3	826	0.0448	0.560348660314204	0.0784976552789809	191	0.034	0.337527551967174	0.0284812120842383	0.829895811142293	1563.18538618008	0.0133	401	0.0378	0.816426300533427	0.166637976050674	0.516272731019407	1796.54708681834	0.0237
8	2000	2000	0.35	1023	0.048	0.68119269436086	0.116005871712652	270	0.0334	0.44483747433712	0.0494700946436571	0.804509338597048	1347.75694368955	0.0124	579	0.0377	0.916668315470938	0.210070200147082	0.387596794501119	1272.98878590022	0.0221
9	2000	2000	0.4	1179	0.0497	0.76941746758675	0.148000809856902	414	0.029	0.476330748250553	0.056722745432233	0.765207644863449	2219.73595431837	0.0122	720	0.0372	0.979719058065864	0.239962358184366	0.284698093284005	2430.96849649565	0.0231
10	2000	2000	0.45	1292	0.051	0.853320280442407	0.182038875253577	549	0.027	0.526728641050174	0.0693607653256407	0.738212216640555	2852.2329802624	0.0113	882	0.0382	1.03660199130946	0.268635922096683	0.209573095981681	2881.00233581541	0.0234
11	2000	2000	0.5	1364	0.0501	0.940097270858845	0.220945719669062	657	0.0236	0.566603503288856	0.0802598824848011	0.711670437021161	3668.54427901844	0.0102	1014	0.037	1.07709227787878	0.290031943766526	0.157216186339526	3546.49594622281	0.0245
12	2000	2000	0.55	1389	0.0464	1.02311817563514	0.261692700328746	705	0.0228	0.618053387725046	0.0954974975196017	0.708082879756598	2761.56192823851	0.0093	1119	0.036	1.15468465805053	0.333324164884319	0.125705683188506	4315.99890785365	0.025
13	2000	2000	0.6	1384	0.0439	1.10900609412475	0.307473629201461	751	0.0208	0.624515889770944	0.0975050241440985	0.697815395724291	2887.73994625674	0.0088	1144	0.0367	1.2440323574251	0.386904126580161	0.107687548064644	5093.99895748695	0.0255
14	2000	2000	0.65	1353	0.0409	1.20253977516199	0.36152547771166	798	0.0181	0.642356070331097	0.103155330272802	0.685261014694349	2910.47654115337	0.0083	1239	0.0301	1.28572964985288	0.413275183127705	0.0975073399394407	2881.74799591377	0.0277
15	2000	2000	0.7	1317	0.0374	1.29898041099597	0.421837527037818	820	0.0145	0.613701619320716	0.0941574193892172	0.671395256084513	2851.26196481967	0.0077	1235	0.0313	1.35901739234366	0.461732068173139	0.092783041272377	2828.33784378854	0.0272
